amount;category;country;date;description;industry;project_name;region
USD 15.00 MLN;B+;Peru;6/30/2016;{'Who is our client': ' Agricola Pampa Baja, established in 1999, is a family owned company engaged in the production of fresh fruits & vegetables and also holds dairy operations for the production of milk.', 'Funding objective': ' FMO’s funds will mainly be used to geographically expand the agricultural activities of Pampa Baja through its participation in the Olmos Irrigation Project in Northern Peru.', 'Why we fund this project': ' Supporting the geographical expansion will enable the company to enhance its counter-seasonal production window. The Olmos Irrigation Project, initiated by the Peruvian government, transforms desert land into agricultural land through irrigation by water diverted from the Atlantic basin. Before the Olmos Irrigation Project, the area was a desert. The land has become suitable for year-round production of fruits and vegetables. Impact will be realized through the additional food produced, the economic development on previously unused land as well as an improvement of living standards in the Lambayeque region, which is a remote and under-developed region in the northern part of Peru. The Olmos operations of Pampa Baja will generate substantial employment opportunities for the local community.'};Agribusiness, Food & Water;AGRICOLA PAMPA BAJA S.A.C.;Latin America & The Caribbean
FMO;;Financial Institutions;INR 3300.00 MLN;{'Who is our client': ' YES BANK, India’s fifth largest private sector Bank with a pan India presence across all 29 states and 7 Union Territories of India, headquartered in the Lower Parel Innovation District (LPID) of Mumbai, is the outcome of the professional and entrepreneurial commitment of its Founder Rana Kapoor and its  management team, to establish a high quality, customer centric, service driven, private Indian Bank catering to the future businesses of India.', 'Funding objective': ' The amount raised will be used by YES BANK to finance Green Infrastructure including solar and wind projects in the renewable energy space.', 'Why we fund this project': ' Green bonds are important for FMO to reach its ambitious long-term emission reduction targets.'};9/26/2016;YES BANK LIMITED;India
FMO;;Infrastructure, Manufacturing and Services;EUR 0.05 MLN;{'Who is our client': ' The Lower Solu Project led by Essel Clean Solu Hydropower (ECS), comprises a run-of-river hydroelectric power plant in the Solukhumbu district in Nepal. With a capacity of 82MW, the Lower Solu Project is the largest private sector hydropower project in Nepal. K.F.A. Consulting Pvt. Ltd. is the implementing party for a capacity development project.', 'Funding objective': ' To establish and provide a skills training program to 80 people in four construction-related fields (Assistant Welding / Electrician, Scaffolding, Bar-bending/ Steel fixtures and Masonry). The CD project is targeted to run from July to November 2016.', 'Why we fund this project': ' The CD Project aims to make a green investment of FMO more inclusive by providing knowledge and skill building to the local community. As local skilled workers are largely unavailable, the CD Project aims to train unskilled people form the local community, thereby building the local pool of skilled resources for the Lower Solu Project and at the same time providing the skills to the local community that can serve them in the longer term.'};11/29/2016;K.F.A. CONSULTING PVT.LTD.;Nepal
USD 22.00 MLN;A;Africa;12/23/2016;{'Who is our client': ' Evolution II (Mauritius) No 2 LP (Evolution II) is a private equity fund investing in renewable energy generating assets and energy efficiency projects in Sub-Sahara Africa. Evolution II is managed by Inspired Evolution Investment Management and has reached a first close size of USD75 million in 2016, funded by development finance institutions and developer Quantum Power.', 'Funding objective': ' Evolution targets investments which deliver social and environmental benefits as well as financial returns. Evolution II seeks to invest in in clean and sustainable electricity generation and related infrastructure, energy and resource efficiency and the food-energy-water nexus. After a successful first fund that invested in South Africa, Evolution II will move further into Africa,', 'Why we fund this project': ' By investing in Evolution II, FMO seeks to address the market need for energy in Sub-Sahara Africa in a sustainable and responsible manner, by increased production of clean energy and use energy more efficiently.'};Energy;EVOLUTION II  (MAURITIUS) NO. 2 LP;Africa
USD 23.58 MLN;A;South Africa;04/10/2017;{'Who is our client': ' Our client is Nokeng Fluorspar Mine (Pty) Ltd, a Greenfield Fluorspar mining operation situated in South Africa.', 'Funding objective': ' The objective is to provide senior debt to the project allowing the construction of the mining operation.', 'Why we fund this project': ' The project will support in developing the economy of South Africa in terms of job creation, reduction in trade deficit and the development of the Fluorspar global market.', 'Environmental and social rationale': ' Environmental and Social Risk Management: The IFC PS relevant in this case are 1-4, 6 and 8. PS 5 is not triggered since, as confirmed by the independent Technical Advisor, the land for the project development has been acquired on willing buyer/willing seller basis. PS 7 is also not applicable since no communities are present directly on the property or in close proximity to the project area and therefore no resettlement of any nature is required.  Nokeng has shown sound committed to meeting the requirements of IFC’s Performance Standards. This was voiced several times during the DD, and also demonstrated through the EIA and broad range of updated environmental and social management plans already in place and well elaborated, for instance on environmental, waste, biodiversity, wetland and disaster management. The Company has a well-experienced and locally based Safety, Health and Environment (SHE) manager who has built a full management framework based on the South African NOSA SHE management standard, including elements similar to ISO 14001 and OHSAS 18001. The company is committed to bring the management system in full compliance with the IFC PS and obtain the ISO 14001, ISO 9001 and OHSAS 18001 certification soon after start of operations'};Infrastructure, Manufacturing and Services;NOKENG FLUORSPAR MINE (RF) PROPRIET;Africa
FMO;;Energy;USD 50.00 MLN;{'Who is our client': ' Climate Investor One (CIO) is an innovative approach to infrastructure financing designed to accelerate the delivery of renewable energy projects in emerging markets. Climate Investor One is managed by Climate Fund Managers and currently combines two investment funds into one facility to finance renewable energy projects at specific stages of the project lifecycle. At an early project stage, Climate Investor One provides financial, technical, environmental, social development and structuring support through the CIO Development Fund. Climate Investor One then reduces the complexity associated with multi-party negotiations by equity financing a large part of construction through the CIO Construction Equity Fund. Once the project is operational, Climate Investor One seeks to have mobilised long-term debt financing through the future CIO Refinancing Fund with the objective of optimising the financing over the operational life of the project. CIO realized a first closing of the CIO Development Fund and CIO Construction Equity Fund of USD 412 mln in late June 2017. The Directorate-General for International Cooperation (DGIS) - Ministry of Foreign Affairs of the Netherlands, Atradius Dutch State Business, De Nederlandse Waterschapsbank N.V. (NWB Bank), Aegon Asset Management and FMO – all from the Netherlands – together with global partners from Norway (KLP), South Africa (Sanlam Investments Holdings) & the UK (Royal Borough of Windsor & Maidenhead Pension Fund), collectively form the cornerstone investors in CIO.', 'Funding objective': ' Climate Investor One invests in the development, construction and operation of approximately 20 new renewable energy projects in emerging markets worldwide, taking environmentally and social returns carefully into account in addition to the financial returns. Targeting Africa, Asia and Latin America, CIO will focus on Solar, Wind and Run-of-River Hydro renewable energy projects.', 'Why we fund this project': ' Born out of The Global Innovation Lab for Climate Finance - a global initiative that supports the identification and piloting of cutting edge climate finance instruments – Climate Investor One contributes to important goals of FMO and the Dutch Government as a large Donor in the project: 1) the initiative seeks to fast-track the development of renewable energy projects in emerging markets thereby contributing to the energy needs of the growing populations in these markets, whilst reducing an estimated 1.5mn tonnes of CO2 per annum and 2) Climate Investor One aims to mobilize an estimated USD 1bn in investment from donors, development institutions and importantly commercial investors. As co-founder and initiator of CIO, FMO has made a sizeable commitment to the CIO Construction Equity Fund and has also taken a stake in the fund manager Climate Fund Managers. Finally, the Dutch Government (DGIS) channelled an important donor commitment to the CIO Development Fund through one of the government fund , the Access to Energy Fund, managed by FMO. This donor commitment facilitates further unlocking of private sector capital.', 'Environmental and social rationale': ' Category A Fund, due to investments in high risk sectors (e.g. hydro-power), which will require strong ESG management throughout the whole project life-cycle. The Fund will invest in construction activities with higher probability of negative impacts. The risk profile of the projects under development is generally cat B+ but the investment scope also allows for category A investments to be made.  The Fund ESMS is comprehensive and fully implemented, in accordance with the Responsible Investment Code and other requirements under the legal agreements. For E&S information and ex-ante disclosure of their investment, you can visit the Climate Investor One website (see hyperlink in right corner).'};6/23/2017;COOPERATIEF CONSTRUCTION EQUITY FUN;Global
USD 34.00 MLN;B+;Georgia;8/15/2017;"{'Who is our client': ' Georgian Water and Power is a leading company on the water supply market of Georgia and South Caucasus. The company provides high quality service to the population of Tbilisi, as well as to state organizations, industrial and commercial objects.', 'Funding objective': "" Funding will be used for GWP's rehabilitation of the Gardabani wastewater treatment plant, and network";;;
MASSIF;;Energy;USD 1.00 MLN;"{'Who is our client': ' M-KOPA Solar is a world leading pay-as-you-go energy provider to off-grid homes. To date M-KOPA has connected well over 500,000 homes in East Africa to affordable, safe and clean energy. Its predominantly low-income customer base is accessing lighting, phone charging, radio and TV on daily mobile money payment plans that are less than the typical cost of kerosene.', 'Funding objective': ' Funding will be utilised over the next three years to provide finance for pay-as-you-go solar installations in one million homes – on top of the 500,000 already connected.', 'Why we fund this project': ' Access to energy and access to finance of the Base of the Pyramid (BOP) continues to hold back social and economic development in Sub Sahara Africa. Availability of local currency debt financing is widely seen as a bottleneck for growth of the off-grid energy sector. The financing is an opportunity to back a market leader in East Africa. M-KOPA has the longest track-record of providing SHSs to its customer base. This facility is the first large debt facility for an off-grid solar company of its kind. This landmark facility is expected to catalyse more debt financing to the sector.', 'Environmental and social rationale': "" The Project is rated category C. M-Kopa's business activities, providing access to energy services by PV Solar Panels on a rent-to-own basis to households not connected to the electricity grid, identifies very little E&S impacts. M-KOPA provides clear instructions to prevent inadequate use of the solar panel and its gears. In terms of waste management, M-KOPA is in touch with the main waste recycler in Kenya (WEEE).  The following Performance Standards are triggered by the transaction: PS 1 Assessment and Management of Environmental and Social Risks and Impacts PS 2 Labor and Working Conditions PS 3 Resource Efficiency and Pollution Prevention PS 4 Community Health, Safety and Security PS 5 is not triggered as there is no land acquisition for the project PS 6 is not triggered as no Biodiversity Conservation and Sustainable Management of Living Natural Resources were identified. PS 7 is not triggered because no impacts on local groups qualifying as Indigenous were identified. PS 8 is not triggered, as no cultural objects or places were identified.""}";10/06/2017;M-KOPA UGANDA LIMITED;Uganda
FMO;;Infrastructure, Manufacturing and Services;EUR 20.00 MLN;{'Who is our client': ' Mediterrania Capital III is a EUR 250m targeted fund being raised by Mediterrania Capital Partners. The Fund will focus primarily on North Africa, including Egypt, with some allocation to Francophone Africa (max 35% in new countries), targeting growth capital investments in SMEs/Midcaps.', 'Funding objective': ' To be an anchor investor in a Private Equity Fund providing scare growth equity capital to companies in the circle around Europe.', 'Why we fund this project': ' Through financing and institutionalizing SME/mid-sized companies in the target markets, The Fund will help them grow, thus creating employment and tax revenues for governments. By increasing our existing stake by EUR 5.00 MLN, we can further achieve this goal, and also thereby catalyze additional funding from other existing LPs.', 'Environmental and social rationale': ' The Manager has established a functioning E&S management system and there are no material gaps with FMO’s requirements. There are proper ESG policies and procedures in place that meet FMO’s requirements. (e.g. clear E&S due diligence process, external ESG audits against IFC Performance Standards on portfolio companies, clear roles and responsibilities in the team, KPI’s on ESG and even a policy on ESG related to their exits).'};11/27/2017;MEDITERRANIA CAPITAL III PARALLEL F;Africa
FMO;;Energy;USD 19.00 MLN;{'Who is our client': ' FMO’s client and developer of the Project is Electronic J.R.C. S.R.L., a Dominican subsidiary of the General Energy Solutions INC (GES), that is solely set up to develop, construct, finance and operate the Monteplata project. Estimated total project costs of Phase I of the Project are USD56 m. FMO is providing USD19m senior loan.', 'Funding objective': ' The objective of FMO’s financing is to fund the construction and operation of a 33MW solar power plant in Monteplata region in the Dominican Republic.', 'Why we fund this project': ' FMO funds this project as it provides an additional source of clean, renewable energy to the Dominican Republic, a country which is heavily reliant on fossil fuel imports and dominated by thermal power plants.', 'Environmental and social rationale': ' This is a category B+ project with potential limited adverse social and environmental (E&S) risk and / or impacts that are few in number, generally site-specific, largely reversible and readily addressed through mitigation measures.  This project is now in operations meaning that all construction activities with higher probability of negative impacts have ceased. Nevertheless this project was screened against all Performance Standards and FMO’s E&S due diligence indicated that the investment had impacts which were managed in a manner consistent with the following Performance Standards: PS 1 - Assessment and Management of Environmental and Social Risks and Impacts;;;
FMO;;Agribusiness, Food & Water;USD 5.00 MLN;{'Who is our client': ' Trans-Oil Group is a leading vertically integrated farming, oilseed crushing, trading and transportation logistic provider with operations in Moldova and Ukraine. The company controls a unique distribution and export network in Moldova with extension to the Black Sea region and upstream to the Danube basin. More than 80% of the sales of the Company are exported via large international traders to EU, Turkey and Asia.', 'Funding objective': ' FMO intends to participate for up-to USD 5 million in a 1-year working capital facility with other international financial institutions. The funds will be used to fund the crop campaign of 2018 marketing season.', 'Why we fund this project': ' FMO intends to support farming in Moldova in general and an agribusiness player in the country by funding Trans-Oil Group’s seasonal working capital needs and help Moldova to earn hard currency. In this way, FMO will contribute to SDGs number1 (no poverty), 2(zero hunger), 8(decent work and economic growth).', 'Environmental and social rationale': ' Categorized B. FMO’s environmental and social due diligence indicates that the intended investment will have impact which must be managed in a manner consistent with the following Performance Standards: PS 1 – Assessment and Management of Environmental and Social Risks and Impacts;;;
FMO;;Financial Institutions;EUR 0.05 MLN;{'Who is our client': ' FMO’s contracting party for this project is the Central Bank of Armenia (CBA). A selection of international professors in economics, finance and law from Harvard, EDHEC Business School, and Tilburg University with demonstrated teaching experience in banking and finance, monetary policy, corporate governance and financial markets regulation have been selected as teachers for this project.', 'Funding objective': ' This proposal aims to support a Certificate Program for Bankers (for both private and central bankers) in collaboration with leading academic experts and the Armenian Central Bank. The project was suggested to FMO by the advisory department of the Dutch Central Bank and successfully piloted by FMO and its partners in 2017.', 'Why we fund this project': ' This project supports opportunities for both FMO’s clients and central bankers in Armenia and Georgia to successfully equip themselves with up-to-date knowledge and skills relevant for the banking sector.'};06/07/2018;CENTRAL BANK OF ARMENIA;Europe & Central Asia
FMO;;Infrastructure, Manufacturing and Services;EUR 0.01 MLN;{'Who is our client': ' The client is Milan Innovincy, (‘MI’) a Dutch based technology company (to be incorporated) focusing on spatiotemporal computing. MI (‘MI’), which is active in eight countries across Sub-Saharan Africa, and that will inject its African activities into this new company.', 'Funding objective': ' The funding objective is to support MI to roll out its digital plot creation technology and further develop products that link plot data to geo-data and make plot-data relevant for service providers such as plantation managers, agri input suppliers, banks, and insurance companies.', 'Why we fund this project': ' This project is aligned with FMO’s Seed MASSIF strategy, because MI is an innovative market-based approach focused on smallholder farmers in Africa while using technology to increase food production and improve farm economics.'};7/20/2018;F88;Vietnam
USD 7.50 MLN;B;Paraguay;9/21/2018;{'Who is our client': ' Banco Para la Comercialización y la Producción S.A. (“Bancop”) is a private universal bank in Paraguay. It is owned by a group of 28 productive cooperatives tied to the country’s agriculture, cattle and agro-industrial sectors. Bancop started operations in 2012 and has been growing rapidly;;;
FMO;;Financial Institutions;USD 25.00 MLN;{'Who is our client': ' Citizens Development Business Finance Plc (CDB) is a regulated deposit taking NBFC, incorporated in 1995 and listed on the Colombo Stock Exchange. Sponsor and main shareholder (~36%) is Ceylinco Life Insurance Ltd, the largest life insurance company in Sri Lanka. CDB (TA USD 491mln, equity USD 46.5mln, RoAA 2.2%), is the 6th largest NBFC and primarily a MSME asset backed lender. Main products are loans (25%) and financial leases (68%) of mainly vehicles. Besides this the company offers a wide financial product gamma including deposits, savings, (VISA) debit cards etc. CDB serves its 83.500 borrowers through a national network of 71 branches and employs just over 1500 staff.', 'Funding objective': ' The requested USD 25mln senior unsecured loan facility will support funding of CDB’s MSME portfolio, specifically focussed on Women Entrepreneurs and green (commercial) vehicles.', 'Why we fund this project': ' Our funding supports the growth of the green vehicle- and women entrepreneurs portfolio. Hence by providing this facility, we contribute to improving the environment by financing vehicles which are less polluting than non-hybrid/non-electric vehicles. At the same time we drive gender equality by having our funding explicitly support women entrepreneurs who in general have less access to financing.  Furthermore, on a best effort basis we aim to catalyse additional funding.', 'Environmental and social rationale': ' E&S FI-C based on the low-risk nature (MSME) of the portfolio. CDB has implemented a Environmental and Social Management System which the company is currently further embedding into the process and systems.'};11/29/2018;CITIZENS DEVELOPMENT BUSINESS FINAN;Sri Lanka
FMO;;Agribusiness, Food & Water;EUR 22.00 MLN;{'Who is our client': ' Zuari Agri Chemicals Limited (‘Zuari), incorporated in 1967, belongs to the Adventz Group.  Zuari is one of the leading fertilizer conglomerates in India, engaged in the manufacturing and trading of fertilizers. The company produces high-quality complex fertilizers of various grades along with seeds, pesticides, micro nutrients, and specialty fertilizers. The manufacturing complex is located in Goa, India, and also houses a 7.5MW gas based power plant, supplying power to the ammonia and urea plant. The sales are made through a network of approx. 2,700 dealers and almost 100 retail stores. All products are sold and marketed under its brand name ‘Jai Kisaan’, which is the oldest and one of the most well-known brands in India. The Company is listed at the Mumbai Stock Exchange.', 'Funding objective': ' FMO is providing a EUR 22mln Foreign Currency Convertible Bond facility. Zuari will use these funds for their ongoing renovation and expansion program. The investments will further improve Zuari’s energy efficiency by more than 20% and will increase the production capacity for urea and ammonia. The revamp of the Goa facilities will prepare Zuari for the future, in line with the fertilizer strategy of the Indian Government, which is based on self-sufficiency and energy efficient production. Since Zuari is a listed company in India, our funding is subject to the approval from its shareholders.', 'Why we fund this project': ' India is the world’s second largest fertilizer consumer and third largest producer in the world. The supply of fertilizers in India is of utmost importance to improve yield per acreage so that increasing food demands can be met. Zuari works closely with farmers across states, educating them in the use of fertilizers and best farming practices. The company along with its associates has a network of over 6,000 dealers and sub-dealers nationwide with access to almost 25 million farmers. Zuari offers a one-stop-shop service that helps to ensure that Indian farmers grow high quality products through its retail chain under the Jai Kisaan brand name. By supporting the revamp of the Goa plant, we help to improve the competitiveness and resource efficiency of Zuari: higher output with less energy consumption. This will also enable the company to expand its geographical reach to new states, where it can further extend its Jai Kisaan retail network.', 'Environmental and social rationale': ' E+S risks are categorized as Category B+ while risks are largely limited to the premises of the factory and can be mitigated with good industry practice. Potential impacts must be managed in a manner consistent with the following Performance Standards: PS 1 Assessment and Management, PS 2 Labour and Working Conditions, PS 3 Resource Efficiency and Pollution Prevention and PS 4 Community Health, Safety and Security. The revamp will fully take place on the existing industrial site. There are no biodiversity conservation sites or nature reserves (PS6) on site or in the sphere of influence of the factory, nor Indigenous People (PS7) or Cultural Heritage (PS8). Based on this Performance Standards 5, 6, 7 and 8 are not applicable. If FMO’s investment proceeds, FMO will periodically review the project’s compliance with the Performance Standards and adequate mitigation measures will be agreed.'};12/21/2018;ZUARI AGRO CHEMICALS LIMITED;India
Building Prospects;;Energy;USD 8.00 MLN;"{'Who is our client': ' Polaris Energy Nicaragua S.A. (PENSA) owns the San Jacinto Tizate geothermal concession covering a 40 km2 area near León, Nicaragua. This area is estimated to have a geothermal resource of more than 200 MW capacity.', 'Funding objective': "" FMO's investment will fund the development and construction of a geothermal power plant. The two-phased 72 MW San Jacinto Tizate Geothermal Project is located in the vicinity of several young active volcanoes."", 'Why we fund this project': ' Nicaragua is highly dependent on expensive fossil fuels, which contribute to greenhouse gasses and have resulted in a structural balance of payment deficit for the country. The project aims to offset more than 350,000 ton of CO2 equivalents per year. Moreover, geothermal energy provides a clean source of energy for the base load of the country. FMO provides much needed long-term funding in order to increase Nicaragua’s energy supply to reduce power outages.'}";08/10/2011;POLARIS ENERGY NICARAGUA S.A;Nicaragua
MASSIF;;Financial Institutions;USD 2.50 MLN;"{'Who is our client': "" MicroKing is Zimbabwe's leading microfinance institution. It was founded in 2001 as a subsidiary of Kingdom Bank, with Accion as technical partner and USAID as initial funder. Zimbabwe's banking system does not reach all the people in the country. MicroKing provides financial services to people with limited or no access to finance, such as traders, producers and other small entrepreneurs."", 'Funding objective': ' MicroKing will receive a USD 5 million senior loan with a 3 year tenor and will use this funding to provide loans to small enterprises that have a USD income (common in Zimbabwe).', 'Why we fund this project': "" Access to finance is a major constraint in Zimbabwe, particularly in the SME market. In financing MicroKind, FMO plays an important role by contributing to confidence and stabilizing the sector. Through this loan, FMO aims to support (i) small enterprises that have no access to finance, (ii) the rebuilding of the country's leading microfinance provider, and (iii) the rebuilding of the sector by providing a sign of confidence as one of the first international financial institutions to re-enter the microfinance sector.""}";9/27/2012;BAOBAB FINANCIAL SERVICES (PRIVATE);Zimbabwe
FMO;;Infrastructure, Manufacturing and Services;USD 30.00 MLN;"{'Who is our client': ' Indorama Eleme Fertilizer and Chemicals Limited is a Nitrogenous Fertilizer Complex with a capacity of 1.4 million metric tons per annum. The plant is located near Port Harcourt in the Niger Delta. Indorama is jointly owned by long-standing FMO client Indorama Corporation Pte Ltd Singapore, and by its Nigerian subsidiary Indorama Eleme Petrochemicals Limited.', 'Funding objective': "" FMO's investment will go towards Indorama's production of fertilizers (urea). The total project will consist of the following elements: a gas pipeline of 84km, plants for production of ammonia and urea, granulation facilities, storage, handling and bagging. Furthermore, there will be a jetty and ship loader, a waste water treatment facility and cooling towers. Power will be produced by Indorama's own gas turbines."", 'Why we fund this project': ' The project promotes the Nigerian agriculture sector, especially food security, with a positive effect on food prices and reduction of imports. This project also contributes to industrial diversification, away from the oil and gas industry. Indorama will create 350 permanent jobs, of which 250 employees will be locally sourced.'}";2/18/2013;INDORAMA ELEME FERTILIZER AND;Nigeria
USD 6.25 MLN;B+;Bangladesh;5/25/2013;"{'Who is our client': "" Ananta Apparels Limited (AAL) established in 1992, is one of the larger apparel manufacturers in Bangladesh with over 13,000 employees.  The Company mainly focuses on denim jeans, children's playwear and cargo. AAL customers include the large retailers including GAP, H&M, C&A, Jack & Jones and Next. AAL is one of the 8 platinum suppliers (top supplier with preferred status) for H&M and is also the preferred denim vendor for GAP.. A new line of business will be men's classic suits for which they have a 5 year contract with H&M. The total monthly production capacity is 1.8 mln woven bottoms."", 'Funding objective': "" The project envisions setting up a state of the art factory as a relocation and expansion of the existing production capacity for woven bottoms. The existing production in downtown Dhaka (which has been there for over 20 years) will be slowly phased out and relocated due to capacity constraints and old building/machinery.The factory will specialize in the production of children's wear, jeans, chinos and cargoes and will comprise of 50 sewing lines, 30 washing machines and embellishment capabilities."", 'Why we fund this project': ' FMO has granted the loan as the company is reputable and experienced sponsors with a 20 year track record in the industry.  It has sound financials with conservatively leveraged balance sheet and healthy margins. Its long-term relationships with major brands like H&M and GAP assure its cash flow. FMO is also happy with the involvement of DEG, IFC and Frontier Fund, that help to professionalise the company on corporate governance, operational and E&S.'}";Infrastructure, Manufacturing and Services;ANANTA APPARELS LTD;Asia
FMO;;Financial Institutions;USD 5.00 MLN;"{'Who is our client': "" JSC TBC Bank was established in 1992 and is headquartered in Tbilisi. They are the number two bank in Georgia in terms of total loans and are the lead bank in terms of retail deposits, with a strong and growing focus on micro-, small- and medium-sized enterprises (MSMEs). TBC Bank is a longstanding FMO client, and was provided a large financing package from development finance institutions in 2009 through which FMO also became a shareholder in the bank. TBC Bank is a universal bank with leasing and microfinance subsidiaries and a small subsidiary in Azerbaijan. The bank holds a BB-/Stable and a B1/Stable rating from Fitch Rating's and Moody’s, respectively."", 'Funding objective': ' Together with two other participants, FMO made a 10-year (5-year grace) subordinated loan to TBC Bank for a total amount of US$35 million. The purpose of the financing is to provide Tier II capital to enable the bank to maintain its growth trajectory while continuing to comfortably meet the local regulatory capital requirements. Through this transaction FMO mobilized a fellow development finance institution, Swedfund, and a commercial investor, Cordiant, thereby diversifying TBC’s funding base and acting as trusted intermediary for partner institutions as they newly venture into the Georgian financial sector. Through this financing, FMO helps stimulate Georgia’s economic growth and job creation in the private sector.', 'Why we fund this project': ' TBC Bank is a bank with universal coverage, a strong brand, experienced management and a track record of good performance: asset quality, deposit base and profitability. However, commercial long-term funding is scarce in Georgia, even for a well-performing, well-governed institution such as TBC. The confidence reflected in the long tenor and large amount of the facility provided by FMO and its syndicate partners will help TBC attract long-term funding from other parties as well, while providing a strong buffer to support future growth of the bank.'}";08/02/2013;JSC TBC BANK;Georgia
FMO;;Infrastructure, Manufacturing and Services;USD 3.12 MLN;"{'Who is our client': "" Mongolia Mining Services PTE Ltd. is the Special Purpose Vehicle through which FMO and the Mongolia Opportunities Fund (MOF) are invested in Hera Equipment LLC. The Company is a leading mining equipment and heavy machinery supplier and an official distributor of Hyundai Heavy Industries from Korea, Daewoo, Hanjin D&B, Junjin CSM, Rubble Master from Austria, Cummins, Colorado TR and ITR from Italy. Hera's particular focus area is in excavators, in which it leads the market, and smaller machinery produced by Hyundai."", 'Funding objective': ' The full amount of USD 13 million  (USD 3 million equity and USD 10 million Mezzanine loan) will be used for a combination of working capital financing, warehouses/servicing facilities and for the engine rebuild faciliity. 50% of the mezzanine loan will be used to purchase equipment for rental and leasing purposes. This transaction is a co-investment with The Mongolia Opportunities Fund (MOF), which is being managed by Mongolia Opportunities Partners.', 'Why we fund this project': "" This co-investment provides an opportunity for FMO to participate in an attractive company with significant growth potential. Mining development has boosted the demand for heavy machinery and mining equipment. The development impact is excellent, given the provision of long-term risk-bearing capital by DFIs in challenging times and circumstances. The transaction is the first co-investment opportunity with MOF which has a perfect fit with FMO's strategy to provide direct investments alongside the PE Funds we have already invested in.""}";9/20/2013;MONGOLIA MINING SERVICES PTE LTD;Mongolia
Building Prospects;;Infrastructure, Manufacturing and Services;USD 20.00 MLN;"{'Who is our client': "" Norwegian company Green Resources AS (GRAS, founded in 1995) is East Africa's leading forestation and timber processing company. GRAS has raised over US$100 mln in equity and invested in upstream plantations (25,000 ha of eucalyptus and pine) and downstream industrial timber processing equipment (largest sawmill in East Africa). GRAS' business model includes the creation of carbon credits on 70% of their plantation forests, which makes them one of the first global companies to receive forest carbon revenues. Currently 76% of GRAS' forest is FSC certified. The company is aiming for 100% certification."", 'Funding objective': "" FMO's financing will fund new timber processing equipment, plantations and general working capital requirements. FMO's fundign complements that of fellow development finance institutions, Finnfund and Norfund (US$25 mln)."", 'Why we fund this project': "" The project's development impact is in providing long-term funding for forestry in Africa, which is currently unavailable. In addition, FMO's non-financial contribution is significant: developing an environmental and social risk monitoring system and a stakeholder management plan. The project contributes strongly to CO2 reduction and tackling climate change.""}";11/20/2013;GREEN RESOURCES AS;Africa
